Company,date,Revenue,EBITDA,Net_income,Sector
LULU,2020-11-01,1117426000.0,262484000.0,143643000.0,Consumer_Cyclical
LULU,2020-08-02,902942000.0,165053000.0,329837000.0,Consumer_Cyclical
LULU,2020-05-03,651962000.0,76283000.0,28632000.0,Consumer_Cyclical
LULU,2020-02-02,1397491000.0,463976000.0,298021000.0,Consumer_Cyclical
MSFT,2020-12-31,43076000000.0,20658000000.0,15463000000.0,Technology
MSFT,2020-09-30,37154000000.0,18521000000.0,13893000000.0,Technology
MSFT,2020-06-30,38033000000.0,16911000000.0,15463000000.0,Technology
MSFT,2020-03-31,35021000000.0,16093000000.0,10752000000.0,Technology
MSFT,2019-12-31,36906000000.0,17094000000.0,11649000000.0,Technology
OC,2020-12-31,1925000000.0,413000000.0,232000000.0,Industrials
OC,2020-09-30,1904000000.0,412000000.0,206000000.0,Industrials
OC,2020-06-30,1625000000.0,284000000.0,232000000.0,Industrials
OC,2020-03-31,1601000000.0,190000000.0,-917000000.0,Industrials
OC,2019-12-31,1692000000.0,289000000.0,73000000.0,Industrials
PEP,2020-12-26,22455000000.0,2640000000.0,1900000000.0,Consumer_Defensive
PEP,2020-09-05,18091000000.0,3619000000.0,2291000000.0,Consumer_Defensive
PEP,2020-06-13,15945000000.0,2907000000.0,1900000000.0,Consumer_Defensive
PEP,2020-03-21,13881000000.0,2451000000.0,1338000000.0,Consumer_Defensive
PEP,2019-12-28,20640000000.0,3495000000.0,1766000000.0,Consumer_Defensive
PFE,2020-12-31,5947000000.0,-1144000000.0,594000000.0,Healthcare
PFE,2020-09-27,12131000000.0,4590000000.0,2194000000.0,Healthcare
PFE,2020-06-28,11801000000.0,4692000000.0,594000000.0,Healthcare
PFE,2020-03-29,12028000000.0,5806000000.0,3401000000.0,Healthcare
PFE,2019-12-31,12688000000.0,3369000000.0,-336000000.0,Healthcare
RDFN,2020-12-31,244517000.0,29622000.0,14035000.0,Real_Estate
RDFN,2020-09-30,236916000.0,40725000.0,34166000.0,Real_Estate
RDFN,2020-06-30,213665000.0,-868000.0,14035000.0,Real_Estate
RDFN,2020-03-31,190995000.0,-54123000.0,-60117000.0,Real_Estate
RDFN,2019-12-31,233191000.0,-3947000.0,-7782000.0,Real_Estate
RL,2020-12-26,1432000000.0,355000000.0,119000000.0,Consumer_Cyclical
RL,2020-09-26,706000000.0,210000000.0,88000000.0,Consumer_Cyclical
RL,2020-06-27,487500000.0,-104300000.0,119000000.0,Consumer_Cyclical
RL,2020-03-28,1274100000.0,-215300000.0,-249000000.0,Consumer_Cyclical
RL,2019-12-28,1750700000.0,292600000.0,334100000.0,Consumer_Cyclical
SAM,2020-12-26,576318000.0,58845000.0,32817000.0,Consumer_Defensive
SAM,2020-09-26,492792000.0,118134000.0,80768000.0,Consumer_Defensive
SAM,2020-06-27,452138000.0,95408000.0,32817000.0,Consumer_Defensive
SAM,2020-03-28,330565000.0,37477000.0,18234000.0,Consumer_Defensive
SAM,2019-12-28,301300000.0,32132000.0,13762000.0,Consumer_Defensive
SAP,2020-12-31,7539000000.0,3112000000.0,1908000000.0,Technology
SAP,2020-09-30,6536000000.0,1908000000.0,1556000000.0,Technology
SAP,2020-06-30,6743000000.0,1742000000.0,1908000000.0,Technology
SAP,2020-03-31,6521000000.0,1690000000.0,814000000.0,Technology
SAP,2019-12-31,8040000000.0,2633000000.0,1620000000.0,Technology
SBUX,2020-12-27,6749000000.0,1301000000.0,622000000.0,Consumer_Cyclical
SBUX,2020-09-27,6203100000.0,1020300000.0,392600000.0,Consumer_Cyclical
SBUX,2020-06-28,4222100000.0,-326800000.0,622000000.0,Consumer_Cyclical
SBUX,2020-03-29,5995700000.0,865100000.0,328400000.0,Consumer_Cyclical
SBUX,2019-12-29,7097100000.0,1589000000.0,885700000.0,Consumer_Cyclical
SIG,2021-01-30,5226000000.0,176002000.0,-15000000.0,Consumer_Cyclical
SIG,2020-10-31,1299000000.0,130039000.0,9000.0,Consumer_Cyclical
SIG,2020-08-01,888000000.0,-42200000.0,-15000000.0,Consumer_Cyclical
SIG,2020-05-02,852100000.0,-262300000.0,-197100000.0,Consumer_Cyclical
SIG,2020-02-01,2153300000.0,271700000.0,187100000.0,Consumer_Cyclical
SIX,2020-09-30,126327000.0,-41064000.0,-116172000.0,Consumer_Cyclical
SIX,2020-06-30,19143000.0,-81980000.0,-136894000.0,Consumer_Cyclical
SIX,2020-03-31,102503000.0,-46916000.0,-116172000.0,Consumer_Cyclical
SIX,2019-12-31,261000000.0,69112000.0,-11155000.0,Consumer_Cyclical
SIX,2019-09-30,621180000.0,323145000.0,179833000.0,Consumer_Cyclical
SJM,2021-01-31,2076000000.0,134000000.0,261000000.0,Consumer_Defensive
SJM,2020-10-31,2034000000.0,494400000.0,230800000.0,Consumer_Defensive
SJM,2020-07-31,1971800000.0,474800000.0,261000000.0,Consumer_Defensive
SJM,2020-04-30,2092000000.0,466700000.0,226300000.0,Consumer_Defensive
SJM,2020-01-31,1972300000.0,456800000.0,187400000.0,Consumer_Defensive
TAP,2020-06-30,2503400000.0,760000000.0,195000000.0,Consumer_Defensive
TAP,2020-03-31,2102800000.0,250600000.0,-117000000.0,Consumer_Defensive
TAP,2019-12-31,2486200000.0,570900000.0,195000000.0,Consumer_Defensive
TAP,2019-09-30,2841600000.0,677700000.0,-402800000.0,Consumer_Defensive
TAP,2019-06-30,2948300000.0,635600000.0,329400000.0,Consumer_Defensive
TD,2021-01-31,10714000000.0,0.0,3277000000.0,Financial_Services
TD,2020-10-31,11750000000.0,0.0,5143000000.0,Financial_Services
