,HMC,BBY,BLNK,ANTM,KO,CTVA,CVS,LEVI,SAM,EPC,ETSY,EXC,F,FOSL,FMS,GME,CL,HP,SJM,EPC,VFC,SIG,LULU,MSFT,TAP,OC,PEP,PFE,RL,RDFN,SAP,BNS,SIX,SBUX,TGT,TD,CLX,CZR,HSY,VFC,UL,UPWK,VZ,VRTX,FB,WBA,WSFS,SPY
2019-06-03,,63.21,2.07,,49.95,,53.39,20.635,315.62,,61.07,48.52,9.61,10.25,36.84,7.46,70.66,,124.3,,,19.09,163.98,119.88,55.9,48.8,128.94,41.93,107.16,15.51,122.855,,,76.21,82.96,,,8.61,132.3,,61.52,,56.36,,164.01,49.91,,274.54
2019-06-04,25.48,63.94,2.32,279.81,50.0,27.48,54.63,21.48,305.77,29.9,61.2,48.71,9.92,11.51,37.69,7.8265,70.84,50.33,124.6,29.9,85.11,20.55,168.9,123.2,58.0,51.1,129.06,42.23,111.81,16.28,125.83,52.28,51.18,78.52,85.88,55.79,152.78,9.0,133.13,85.11,61.38,14.41,56.22,171.27,167.52,51.49,41.05,280.52
2019-06-05,25.63,63.24,2.29,276.96,50.8,27.97,53.18,21.35,309.9,29.54,61.49,49.72,9.77,11.18,37.45,5.0601,71.91,50.99,125.25,29.54,85.77,19.44,173.57,125.83,57.43,51.81,131.4,42.51,111.01,16.0,126.26,52.1,51.25,79.96,85.46,56.05,155.4,9.02,136.06,85.77,61.69,14.16,57.04,173.26,168.15,50.78,40.45,282.9
2019-06-06,25.45,62.31,2.32,277.5,51.41,26.89,54.14,20.82,319.97,30.16,61.97,50.24,9.75,10.7,37.51,5.11,73.11,51.2,122.43,30.16,84.45,19.16,170.44,127.9,57.72,53.06,132.0,42.76,109.47,16.08,126.49,52.37,51.68,81.41,85.73,56.395,158.96,9.13,137.24,84.45,62.08,14.34,57.545,167.82,168.32,50.99,40.35,284.74
2019-06-07,25.58,63.72,2.37,278.12,51.4753,26.31,53.92,20.975,320.36,30.73,63.89,49.96,9.755,11.1,37.61,5.01,73.99,51.87,124.51,30.73,84.7,19.72,172.421,131.4,56.98,52.6,133.45,42.92,110.89,16.86,129.61,52.98,51.84,82.47,86.85,56.7,156.61,9.45,138.01,84.7,62.53,14.38,57.21,173.51,173.34,51.97,39.86,287.63
2019-06-10,25.71,65.16,2.53,282.06,51.37,25.31,55.02,21.65,317.96,30.4,65.3,49.55,9.8102,10.9,37.88,5.45,73.02,50.66,122.62,30.4,85.68,19.1,171.35,132.6,54.74,53.56,133.58,43.05,113.65,18.1,129.42,53.28,52.67,81.92,87.54,56.84,156.77,9.79,136.67,85.68,62.27,15.05,56.14,172.82,174.83,52.31,40.59,288.9305
2019-06-11,25.97,65.52,2.64,283.45,51.31,24.95,53.96,20.91,333.5,30.43,67.19,49.21,9.92,10.97,38.3533,5.71,73.32,51.34,123.09,30.43,85.46,19.81,171.65,132.1,54.63,52.78,133.18,42.67,113.84,17.77,128.38,53.23,51.11,82.37,87.88,56.97,156.13,9.69,136.82,85.46,62.65,15.13,56.82,172.0,178.12,52.87,40.71,288.89
2019-06-12,25.64,64.45,2.78,281.13,51.65,25.12,53.67,20.54,338.19,30.29,69.18,50.45,9.86,10.6,37.27,5.5,73.05,49.44,123.86,30.29,84.77,18.69,170.9703,131.49,54.87,50.05,133.15,43.1,112.66,17.68,128.3,52.65,51.51,82.94,88.28,56.26,156.92,9.8,138.24,84.77,63.16,14.54,57.38,170.63,175.05,52.12,40.76,288.36
2019-06-13,25.74,65.85,2.79,285.3,51.13,24.985,54.59,21.2,341.84,30.99,70.05,50.18,10.06,10.69,37.44,5.7,72.755,50.23,123.55,30.99,86.84,19.12,174.58,132.32,55.11,51.02,132.94,42.51,112.61,18.04,128.78,52.73,50.87,83.36,88.31,56.38,155.93,9.82,137.67,86.84,62.68,15.6769,57.63,168.85,177.49,52.89,41.21,289.65
2019-06-14,25.33,66.04,2.63,285.34,51.32,25.1848,54.18,21.57,339.08,30.61,67.77,50.81,9.99,10.2,37.39,5.64,73.35,48.4,123.31,30.61,87.26,17.96,176.71,132.47,53.99,50.21,132.75,42.76,112.1,17.9,127.7,52.63,51.51,84.25,87.8,56.59,156.86,9.81,138.28,87.26,62.61,15.27,58.28,170.23,181.33,52.57,41.35,289.19
2019-06-17,25.56,66.65,2.72,287.46,50.88,25.98,54.53,21.84,337.56,30.32,68.45,50.43,10.05,10.44,37.77,5.71,73.41,48.73,122.4,30.32,87.18,18.26,183.45,132.89,53.67,49.22,132.51,42.87,112.31,18.22,128.45,52.64,52.05,83.0,87.14,56.61,154.82,9.86,137.7,87.18,62.47,15.42,57.63,173.81,189.04,52.81,41.04,289.44
2019-06-18,25.88,68.67,2.7,288.33,50.65,27.3,54.66,21.79,338.39,30.42,66.93,49.9,10.1,10.64,38.31,5.73,72.9,49.53,120.6,30.42,88.31,18.01,188.09,135.18,54.11,49.27,132.12,43.08,113.36,18.5,131.78,53.17,51.62,82.92,86.47,57.46,153.66,9.95,138.24,88.31,62.33,15.16,57.35,178.0,188.52,52.81,41.5,292.29
2019-06-19,25.8,67.62,2.67,291.12,51.12,27.15,54.89,22.29,338.43,29.08,68.14,50.0,10.04,10.56,39.48,5.64,73.52,49.11,120.87,29.08,88.35,17.56,186.99,135.59,54.66,48.58,132.85,43.49,112.64,18.39,131.8,53.66,52.67,83.8,86.17,57.96,153.08,10.0601,137.9,88.35,62.49,15.47,57.63,181.77,187.44,52.89,41.65,293.05
2019-06-20,25.96,68.39,2.66,291.23,51.66,27.165,53.86,21.74,342.52,28.55,68.83,50.23,10.04,10.85,40.04,5.53,73.6,51.07,121.08,28.55,88.61,17.49,186.51,136.89,54.98,49.18,134.11,43.61,114.87,18.67,134.36,54.13,50.85,84.68,86.22,58.16,154.63,10.04,137.64,88.61,62.24,15.96,57.34,182.13,189.31,52.87,41.59,295.84
2019-06-21,25.84,67.56,2.58,293.9,51.56,27.21,53.68,21.69,346.57,27.88,65.78,50.405,9.98,11.02,39.88,5.42,72.965,51.11,121.51,27.88,88.37,17.63,181.88,136.94,55.42,51.39,133.97,43.69,117.78,18.52,134.32,54.09,50.581,83.82,87.61,57.93,154.89,9.99,137.21,88.37,62.31,15.51,57.79,183.98,191.15,52.46,40.47,294.08
2019-06-24,25.84,67.47,2.6,290.51,51.94,28.0,53.13,21.06,349.54,27.24,63.91,50.15,9.945,11.29,38.9,5.38,73.98,49.98,121.31,27.24,87.85,17.09,182.615,137.79,55.46,50.99,134.16,43.77,116.98,18.51,134.94,54.35,49.67,83.65,86.73,58.29,155.21,11.43,137.46,87.85,62.91,15.49,58.28,181.07,192.57,51.94,39.79,293.64
2019-06-25,25.75,66.41,2.58,285.18,51.76,27.67,53.69,20.76,361.53,26.93,61.8,49.05,9.84,11.11,38.52,5.46,73.92,48.82,120.57,26.93,85.42,16.77,177.26,133.43,55.41,50.9,133.82,43.78,113.68,17.33,133.04,54.13,48.97,84.25,85.7,57.97,155.77,11.57,137.2,85.42,62.48,15.08,58.0,180.16,188.84,52.99,40.34,290.79
2019-06-26,25.51,68.14,2.53,278.84,51.13,29.26,53.7,20.71,358.29,26.62,60.36,47.8,9.905,11.08,38.79,5.46,72.335,49.71,115.98,26.62,85.71,17.35,177.26,133.93,54.96,54.6,132.32,42.99,115.35,17.19,134.01,54.21,48.59,83.39,85.59,58.11,151.63,11.62,134.17,85.71,61.76,15.59,57.0,177.66,187.6,52.38,40.02,290.47
2019-06-27,25.83,68.47,2.565,282.44,51.09,29.54,54.73,21.08,365.51,26.66,62.35,47.56,10.2,11.54,39.05,5.53,72.14,49.71,116.87,26.66,86.69,17.68,180.1,134.14,55.36,56.96,131.67,43.42,113.07,17.78,134.68,54.1699,49.15,83.56,85.87,58.11,152.27,11.66,134.86,86.69,61.66,16.03,57.24,178.58,189.5,54.51,40.69,291.54
2019-06-28,25.84,69.69,2.68,282.09,50.9,29.55,54.51,20.85,377.76,26.96,61.35,47.95,10.225,11.51,39.28,5.465,71.63,50.6,115.21,26.96,87.43,17.89,180.295,133.93,55.97,58.22,131.04,43.33,113.52,17.97,136.8,54.35,49.7,83.82,86.58,58.37,153.09,11.79,133.87,87.43,61.97,16.08,57.125,183.36,192.98,54.66,41.29,293.1
2019-07-01,26.12,72.42,2.64,282.67,51.6,29.68,54.93,21.235,380.54,27.43,62.05,48.06,10.14,10.95,39.77,5.37,72.08,51.42,116.51,27.43,88.33,17.27,179.95,135.69,56.29,58.54,131.86,43.77,113.66,17.95,138.3,53.79,51.99,84.57,86.94,58.6,152.8,12.01,134.24,88.33,62.05,15.61,56.68,181.83,193.0,54.65,41.29,295.61
2019-07-02,26.11,71.64,2.65,280.61,51.98,28.99,54.81,21.37,379.48,27.54,62.67,48.83,10.12,10.65,39.64,5.38,72.741,49.43,117.59,27.54,86.72,16.39,180.87,136.57,56.13,57.58,132.43,44.22,110.28,17.97,139.34,53.96,52.71,85.5,87.05,58.8,154.19,12.08,136.11,86.72,63.05,15.4,58.14,179.53,195.0,54.96,41.23,296.46
2019-07-03,26.07,71.98,2.72,282.55,52.1,28.8,55.19,21.79,383.25,28.03,64.29,49.02,10.2,10.55,39.86,5.3,73.98,49.33,119.75,28.03,87.92,16.35,183.93,137.45,56.84,57.94,133.96,44.4,110.49,17.64,140.28,54.45,53.45,87.7995,87.91,59.25,156.95,12.13,138.26,87.92,63.81,15.45,58.12,183.27,197.17,55.19,41.8,298.76
